id,company,assignee,title,inventor/author,priority.date,filing/creation.date,publication.date,grant.date,result.link,representative.figure.link,inventorlocation
US-2726056-A,Boeing,Boeing Co,Aircraft fuel tank structure ,"Jean H Tatom, Van B Butler, Richard B Lee, Walter W Lund",18314,18314,20429,20429,https://patents.google.com/patent/US2726056A/en,https://patentimages.storage.googleapis.com/fc/37/f2/e9bdfcd2a4d800/US2726056-drawings-page-1.png,"Richard B. Lee, and Walter W. Lund, Seattle, Wash "
US-2793828-A,Boeing,Boeing Co,Airplane inflight refueling apparatus ,Robert E Rohtert,19497,19497,20968,20968,https://patents.google.com/patent/US2793828A/en,https://patentimages.storage.googleapis.com/fc/e3/75/53d6fe832d6dff/US2793828-drawings-page-1.png,"LING APPARATUS Robert E. Rohtert, Wichita, Kans., "
US-2620719-A,Boeing,Boeing Co,Rate-of-pressure change controls for pressure cabins ,Nathan C Price,14058,14058,19337,19337,https://patents.google.com/patent/US2620719A/en,https://patentimages.storage.googleapis.com/c8/84/61/c2945ce0071307/US2620719-drawings-page-1.png,"SSURE CABINS s. Nathan C. Price, Hollywood, Calif "
US-2917903-A,Boeing,Boeing Co,Fuel feeding and apparatus cooling systems for vehicles ,"Russell W Stineman, Jack E Shearer",20383,20383,21906,21906,https://patents.google.com/patent/US2917903A/en,https://patentimages.storage.googleapis.com/bd/27/a9/acb6a17c885df3/US2917903-drawings-page-1.png,"l W. Stneman and Jack E. Shearer, Seattle, Wash., "
US-2637513-A,Boeing,Boeing Co,Aircraft tank arrangement ,Jarvis A Wallen,17811,17811,19484,19484,https://patents.google.com/patent/US2637513A/en,https://patentimages.storage.googleapis.com/11/65/82/8ce002f4e8c021/US2637513-drawings-page-1.png,"RCRAFT ARRANGEMENT Jarvis Wallen, Seattle, awash, "
US-2683678-A,Boeing,Boeing Co,Glass mounting ,Harold L Adams,18927,18927,19918,19918,https://patents.google.com/patent/US2683678A/en,https://patentimages.storage.googleapis.com/9c/ea/b6/0897c9e7559365/US2683678-drawings-page-1.png,"4 GLASS MOUNTING Harold L. Adams, Seattle, Wash., "
US-2956651-A,Boeing,Boeing Co,Honeycomb panel ,"Robert W Allred, Thomas S Comtois",20942,20942,22207,22207,https://patents.google.com/patent/US2956651A/en,https://patentimages.storage.googleapis.com/ea/13/e4/ce9c0f05a34a9a/US2956651-drawings-page-1.png,"bert W. Allred Thomas S. Comtois, Wichita, Kans., "
US-2455385-A,Boeing,Boeing Co,Alternate passage double ring cowl ,George S Schairer,15747,15747,17874,17874,https://patents.google.com/patent/US2455385A/en,https://patentimages.storage.googleapis.com/75/58/26/3b9b28185c005f/US2455385-drawings-page-1.png,"BLE RING COWL George S. Schairer, Seattle, Wash., "
US-2836267-A,Boeing,Boeing Co,Lightweight structural body and process of fabricating the same ,Richard S Reinhold,20296,20296,21332,21332,https://patents.google.com/patent/US2836267A/en,https://patentimages.storage.googleapis.com/5b/8a/17/c8d648b209c4b6/US2836267-drawings-page-1.png,"TING THE SAME Richard S. Reinhold, Seattle, Wash, "
US-2153266-A,Boeing,Boeing Aircraft Co,Retractable hydrostabilizer for airplanes ,"Robert J Minshall, Edward C Wells",13730,13730,14339,14339,https://patents.google.com/patent/US2153266A/en,https://patentimages.storage.googleapis.com/85/7d/4e/62a191c4548149/US2153266-drawings-page-1.png,"t J. Minshall and Edward 0. wens, Seattle, Wash., "
US-2859812-A,Boeing,Boeing Co,Fuel cell bead retainers ,Wallace R Swanson,19872,19872,21500,21500,https://patents.google.com/patent/US2859812A/en,https://patentimages.storage.googleapis.com/8a/f3/68/ccfd931a1ce198/US2859812-drawings-page-1.png,"EAD RETAINERS Wallace R. Swanson, Seattle, Wash., "
US-2639788-A,Boeing,Boeing Co,Structural joint ,"John F Korsberg, Frank T Gustafson, Snyder George",18806,18806,19505,19505,https://patents.google.com/patent/US2639788A/en,https://patentimages.storage.googleapis.com/1d/5a/cb/4d9996a45063f4/US2639788-drawings-page-1.png,"May 26, 1953 George Snyder,v Seattle, wash-.,-. .-"
US-2788182-A,Boeing,Boeing Co,Aircraft wing and aileron controls ,"Kermit E Brenden, Edward M Tobin",19336,19336,20919,20919,https://patents.google.com/patent/US2788182A/en,https://patentimages.storage.googleapis.com/4b/d2/3f/b234d1e8a30c6e/US2788182-drawings-page-1.png,"t E. Brenden and Edward M. Tobin, Seattle, Wash., "
US-2610564-A,Boeing,Boeing Co,Ratio control for pressure cabins ,"James B Cooper, Alfred B Jepson",15477,15477,19253,19253,https://patents.google.com/patent/US2610564A/en,https://patentimages.storage.googleapis.com/85/4d/2a/3a1b2ffa3be600/US2610564-drawings-page-1.png,"r and Alfre'tl- B. jep's'c'sm'Seattle'; 
 .Wash., "
US-2748886-A,Boeing,Boeing Co,Deaerators ,Charles W Wildebour,19756,19756,20611,20611,https://patents.google.com/patent/US2748886A/en,https://patentimages.storage.googleapis.com/28/83/e0/7ba5e5b9c16f08/US2748886-drawings-page-1.png," DEAERATORS Charles W. Wildebour, Seattle, Wash., "
US-3050987-A,Boeing,Boeing Co,Contamination meter and process for detecting contamination ,Richard E Osgood,21578,21578,22886,22886,https://patents.google.com/patent/US3050987A/en,https://patentimages.storage.googleapis.com/19/05/91/4a09e36bde4596/US3050987-drawings-page-1.png,"G @QNTAMINATEON Richard E. Osgood, Edmonds, Wash, "
US-2373088-A,Boeing,Boeing Aircraft Co,Stall indicator ,"Allen Florence Brydon, The Pacific National B Seattle",14917,15864,16537,16537,https://patents.google.com/patent/US2373088A/en,https://patentimages.storage.googleapis.com/57/17/3f/151c895d4c58f7/US2373088-drawings-page-1.png,"tional Bank of Seattle, executor, Seattle, Wasla, "
US-2360542-A,Boeing,Boeing Aircraft Co,Boost control valve ,Mitchell M Berry,14959,14959,16362,16362,https://patents.google.com/patent/US2360542A/en,https://patentimages.storage.googleapis.com/73/a9/8b/9dbbb2e780c521/US2360542-drawings-page-1.png," CONTROL VALVE Mitchell M. Berry, Seattle, Wash., "
